ATM_CE_AND_PE,NFO Trading Symbol,Trading Symbol,Lotsize,LTP,PERCENTAGEOF_LTP,PREMIUM_COLLECTED,2023-12-26,2023-12-22,2023-12-21,2023-12-20,2023-12-19,2023-12-18,2023-12-15,Symbol
11,LT,LT23DECFUT,300,3542.25,0.3105370880090338,3300.0,44,62.4,76.65,89.6,92.25,95.45,98.8,LT23DECFUT
55,LTIM,LTIM23DECFUT,150,6276.75,0.8762496514916158,8250.0,24,181.9,217.1,238.35,263.4,284.25,302.9,LTIM23DECFUT
62,LTTS,LTTS23DECFUT,200,5208.75,1.1903047756179506,12400.0,62,142.95,183.25,213.8,238.35,257.55,262.54999999999995,LTTS23DECFUT
10,LUPIN,LUPIN23DECFUT,850,1287.45,0.7767291933667326,8500.0,11,34.8,45.05,49.3,56.2,63.400000000000006,53.8,LUPIN23DECFUT
11,M&M,M&M23DECFUT,350,1679.55,0.654937334405049,3850.0,23,34.9,43.5,50.650000000000006,52.7,60.5,63.15,M&M23DECFUT
4,M&MFIN,M&MFIN23DECFUT,2000,277.55,1.4411817690506215,8000.0,7,7.25,9.65,12.45,14.0,16.3,17.75,M&MFIN23DECFUT
3,MANAPPURAM,MANAPPURAM23DECFUT,6000,171.5,1.749271137026239,18000.0,3,13.05,7.25,9.8,9.0,12.25,12.45,MANAPPURAM23DECFUT
5,MARICO,MARICO23DECFUT,1200,532.3,0.9393199323689649,6000.0,5,11.0,14.5,17.799999999999997,20.6,20.85,20.4,MARICO23DECFUT
101,MARUTI,MARUTI23DECFUT,50,10258,0.9845973874049523,5050.0,101,192.55,255.2,306.35,329.2,370.1,372.3,MARUTI23DECFUT
14,MCDOWELL-N,MCDOWELL-N23DECFUT,700,1081.25,1.2947976878612717,9800.0,14,27.450000000000003,31.4,39.35,49.150000000000006,62.45,49.5,MCDOWELL-N23DECFUT
41,MCX,MCX23DECFUT,400,3188,1.2860727728983687,16400.0,60,99.55,145.65,223.65,191.7,213.85,234.4,MCX23DECFUT
19,METROPOLIS,METROPOLIS23DECFUT,400,1666,1.1404561824729893,7600.0,33,73.8,96.6,102.6,109.8,100.8,95.5,METROPOLIS23DECFUT
10,MFSL,MFSL23DECFUT,800,953.65,1.0486027368531432,8000.0,22,26.65,34.85,45.6,52.400000000000006,59.8,63.55,MFSL23DECFUT
6,MGL,MGL23DECFUT,800,1177.1,0.5097272958966953,4800.0,12,36.0,43.55,49.55,57.1,63.55,61.55,MGL23DECFUT
1,MOTHERSON,MOTHERSON23DECFUT,7100,95.9,1.0427528675703857,7100.0,1,2.9000000000000004,3.55,4.2,4.949999999999999,5.449999999999999,5.8,MOTHERSON23DECFUT
15,MPHASIS,MPHASIS23DECFUT,275,2724.1,0.5506405785397012,4125.0,15,99.95,105.95,118.45,137.10000000000002,157.25,159.35,MPHASIS23DECFUT
576,MRF,MRF23DECFUT,5,120711.1,0.4771723561462036,2880.0,952,3940.95,1852.1,2480.75,3133.25,3366.4,3700.55,MRF23DECFUT
10,MUTHOOTFIN,MUTHOOTFIN23DECFUT,550,1474.05,0.6784030392456158,5500.0,22,36.45,43.1,51.75,63.05,64.5,68.25,MUTHOOTFIN23DECFUT
1,NATIONALUM,NATIONALUM23DECFUT,7500,116.75,0.8565310492505354,7500.0,1,4.4,7.75,5.85,4.5,7.0,7.1,NATIONALUM23DECFUT
42,NAUKRI,NAUKRI23DECFUT,150,5131.55,0.8184661554501076,6300.0,63,117.45,147.8,194.2,246.45,262.35,324.29999999999995,NAUKRI23DECFUT
46,NAVINFLUOR,NAVINFLUOR23DECFUT,150,3850.1,1.1947741617100855,6900.0,58,102.95,138.0,149.3,195.95,205.55,213.0,NAVINFLUOR23DECFUT
