,2023-12-27,2023-12-26,2023-12-22,2023-12-21,2023-12-20,2023-12-19,2023-12-18,Symbol,2023-12-28
169,969.25,996.95,969.25,366.8,870.5,996.95,969.25,ATUL24JANFUT,372
170,145.05,274.35,292.0,152.0,263.15,273.85,287.85,ASTRAL24JANFUT,125
171,193.9,132.3,490.85,473.65,395.05,419.75,419.75,ASIANPAINT24JANFUT,188
172,13.85,21.15,17.05,22.0,22.1,,,ASHOKLEY24JANFUT,14
173,35.400000000000006,32.2,32.3,84.55,73.6,87.1,87.1,APOLLOTYRE24JANFUT,35
174,1157.45,1116.0,431.8,976.9,801.25,424.1,992.1,APOLLOHOSP24JANFUT,415
175,48.7,44.6,48.75,49.3,98.2,57.25,51.55,AMBUJACEM24JANFUT,40
176,1526.05,320.05,1304.0,177.8,116.2,177.8,177.8,ALKEM24JANFUT,315
177,96.3,99.6,110.5,115.9,113.8,122.7,125.05,ADANIPORTS24JANFUT,86
178,344.95,351.05,349.4,412.2,422.4,466.9,477.65,ADANIENT24JANFUT,323
179,185.3,145.60000000000002,325.1,321.4,168.7,365.6,391.1,ACC24JANFUT,153
180,18.95,28.75,19.65,19.8,20.75,39.95,40.3,ABFRL24JANFUT,17
181,14.65,12.75,13.45,14.15,28.3,26.5,26.5,ABCAPITAL24JANFUT,13
182,2189.3,2189.3,2189.3,1150.0,2184.6,2263.6,1259.35,ABBOTINDIA24JANFUT,681
183,344.6,328.0,244.7,850.9499999999999,213.5,1202.5,1218.55,ABB24JANFUT,327
184,67.4,61.6,31.25,54.900000000000006,51.65,182.85,159.65,AARTIIND24JANFUT,61
